ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
138,2021-02-27 14:00:00.000,6920200,8930,8675,103653415/1
139,2021-02-27 14:00:00.000,6920207,8930,7462,103653415/2
140,2021-02-27 14:00:00.000,6920226,8930,8835,103653416/1
141,2021-02-27 14:00:00.000,6920330,8930,8294,103653416/2
142,2021-02-27 14:00:00.000,6920235,8930,8223,103653417/1
143,2021-02-27 14:00:00.000,6920268,8930,6866,103653417/2
144,2021-02-27 14:00:00.000,6920353,8930,7955,103653418/1
145,2021-02-27 14:00:00.000,6920068,8930,7779,103653418/2
146,2021-02-27 14:00:00.000,6920146,8930,6429,103653529/1
147,2021-02-27 14:00:00.000,6920242,8930,7016,103653529/2
148,2021-02-27 14:00:00.000,6920245,8930,7083,103653530/1
149,2021-02-27 14:00:00.000,6920173,8930,7850,103653530/2
150,2021-02-27 14:00:00.000,6920111,8930,8940,103670098/2
151,2021-02-27 14:00:00.000,6920350,8930,6888,103687004/1
152,2021-02-27 14:00:00.000,6920129,8930,8413,103687004/2
153,2021-02-27 14:00:00.000,6920016,8930,7194,103760344/1
154,2021-02-27 14:00:00.000,6920302,8930,7422,103760344/2
155,2021-02-27 14:00:00.000,6919978,8930,7581,103760346/1
156,2021-02-27 14:00:00.000,6920281,8930,6704,103760346/2
157,2021-02-27 14:00:00.000,6920013,8930,8473,103760348/1
158,2021-02-27 14:00:00.000,6920097,8930,8729,103760348/2
159,2021-02-27 14:00:00.000,6920219,8930,7299,103811414/1
160,2021-02-27 14:00:00.000,6920305,8930,8041,103811418/1
161,2021-02-27 14:00:00.000,6920154,8930,8885,103902854/1
162,2021-02-27 14:00:00.000,6920372,8930,9001,103902854/2
163,2021-02-27 14:00:00.000,6920001,8930,7629,103903079/1
164,2021-02-27 14:00:00.000,6920229,8930,7275,103903079/2
165,2021-02-27 14:00:00.000,6920018,8930,7059,103903080/1
166,2021-02-27 14:00:00.000,6920225,8930,6247,103911728/1
167,2021-02-27 14:00:00.000,6920004,8930,6698,103911728/2
168,2021-02-27 14:00:00.000,6920378,8930,6364,103911729/1
169,2021-02-27 14:00:00.000,6920393,8930,7745,103911729/2
170,2021-02-27 14:00:00.000,6920373,8930,6854,103911730/1
171,2021-02-27 14:00:00.000,6920293,8930,8814,103911731/1
172,2021-02-27 14:00:00.000,6919976,8930,8538,103911732/1
173,2021-02-27 14:00:00.000,6920028,8930,7368,103911732/2
174,2021-02-27 14:00:00.000,6920044,8930,7967,103913878/1
